[3/5/2022 18:50:27] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:27] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:27] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:27] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:27] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:31] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:31] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:31] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:50:34] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:52:29] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:52:29] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:53:38] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:53:38] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:56:05] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:56:05] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:56:05] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:56:05] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:56:05] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:56:05] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 18:56:08] [[31merror[39m]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
